nummer,adresse,plz,stadtteil,stadt,beschallungsradius,_last_update,_uuid,_dic_id
S060,Krahnenburgstraße 15,40472,Lichtenbroich,Düsseldorf,800,2026-04-15,5ff1a437-ca5a-46cb-adb8-a47f4d78e1b5,fwrsir
S061,Niederrheinstraße 336,40489,Kaiserswerth,Düsseldorf,1000,2026-04-15,52713c49-6298-4963-8fcd-82d38113b551,fwrsir
S062,Einbrunger Straße 82,40489,Wittlaer,Düsseldorf,1000,2026-04-15,bf20e66e-4b3a-48b3-b83f-281ec2032c9d,fwrsir
S063,Kappelerstraße,40599,Reisholz,Düsseldorf,900,2026-04-15,854cceb1-f4f2-4457-8695-ee8ccb56baf1,fwrsir
S064,Theodorstraße 180,40472,Rath,Düsseldorf,800,2026-04-15,dc4d4626-bc9a-4cff-a16e-929ac0f9ea30,fwrsir
S065,Am Feldhof 13,40629,Knittkuhl,Düsseldorf,900,2026-04-15,3e569bc6-34ac-4d66-a228-ed39cc11317d,fwrsir
S066,Lindemannstraße 57,40237,Düsseltal,Düsseldorf,700,2026-04-15,92cd6c11-e6a2-459b-b9eb-911e27877294,fwrsir
S067,Essener Straße 1,40476,Derendorf,Düsseldorf,700,2026-04-15,6f848d4f-1b40-402a-bd0a-cfde33f11947,fwrsir
S068,Parsevalstraße 9b (7-9c),40468,Unterrath,Düsseldorf,700,2026-04-15,dbd7fbae-7363-4d13-9894-f4038017fdae,fwrsir
S069,Flughafenstraße 105,40474,Unterrath,Düsseldorf,800,2026-04-15,4edea600-4e33-4bb4-bdc9-7b22f453a80e,fwrsir
S070,Bahnhofstraße 1,40489,Angermund,Düsseldorf,1000,2026-04-15,6b15e7c6-91e1-49b6-8a90-62e8272efb23,fwrsir
S071,Freiheitshagen 33,40489,Angermund,Düsseldorf,700,2026-04-15,e1da68bd-1d55-4f45-b2a6-221540f08a5f,fwrsir
S072,Wacholderstraße 30a,40489,Angermund,Düsseldorf,400,2026-04-15,ef8a76a0-2a3b-4168-b9fb-e1aa6a587e5a,fwrsir
S073,Wasserwerksweg 60,40489,Wittlaer,Düsseldorf,1000,2026-04-15,31c90bcf-20f3-44c2-99b8-9496dd6766e9,fwrsir
S074,Rheinweg 1,40489,Wittlaer,Düsseldorf,900,2026-04-15,e44e102d-abae-43d6-a1e5-47058dba5da5,fwrsir
S075,Kaiserwerther Markt 40,40489,Kaiserswerth,Düsseldorf,1000,2026-04-15,b4c36cd4-31a6-4837-ba30-242f6849589f,fwrsir
S076,Edmund-Bertrams-Straße 14,40489,Kalkum,Düsseldorf,800,2026-04-15,9d82a697-3bc3-4da9-858e-c70ee95091d5,fwrsir
S077,Zum Winnenberg 1,40629,Hubbelrath,Düsseldorf,400,2026-04-15,67cd584e-27d5-4427-9155-6ea39510a241,fwrsir
S078,Dorfstraße 13,40629,Hubbelrath,Düsseldorf,600,2026-04-15,288520e1-a37a-4b5e-bdb2-cc3f31cdbcb4,fwrsir
S079,Gerresheimer Landstraße 42,40627,Unterbach,Düsseldorf,600,2026-04-15,2d81b480-b4dc-4aea-a6ab-363d2e048955,fwrsir
S080,Steinkaul 27,40589,Himmelgeist,Düsseldorf,1000,2026-04-15,e57f1826-edb1-4e21-bde2-f97d25b04287,fwrsir
S081,Itterstraße 16,40589,Holthausen,Düsseldorf,900,2026-04-15,5cc4da28-c81c-4dc4-b4a0-83ef658679d7,fwrsir
S082,Bergische Land Straße 2,40629,Ludenberg,Düsseldorf,700,2026-04-15,06955d95-652b-4daf-9df9-0787f1497036,fwrsir
